actor_name,ceremony_year,award_type
Kevin Spacey,2000,best_actor
Hilary Swank,2000,best_actress
Sam Mendes,2000,best_director
Russell Crowe,2001,best_actor
Julia Roberts,2001,best_actress
Steven Soderbergh,2001,best_director
Denzel Washington,2002,best_actor
Hally Berry,2002,best_actress
Ron Howard,2002,best_director
Adrien Brody,2003,best_actor
Nicole Kidman,2003,best_actress
Roman Polanski,2003,best_director
Sean Penn,2004,best_actor
Charlize Theron,2004,best_actress
Peter Jackson,2004,best_director
Jamie Foxx,2005,best_actor
Hilary Swank,2005,best_actress
Clint Eastwood,2005,best_director
Philip Seymour Hoffman,2006,best_actor
Reese Witherspoon,2006,best_actress
Adam Lee,2006,best_director
Forest Whitaker,2007,best_actor
Helen Mirren,2007,best_actress
Martin Scorsese,2007,best_director
Daniel Day-Lewis,2008,best_actor
Marion Cotillard,2008,best_actress
Joel Coen,2008,best_director
Sean Penn,2009,best_actor
Kate Winslet,2009,best_actress
Danny Boyle,2009,best_director
Jeff Bridges,2010,best_actor
Sandra Bullock,2010,best_actress
Kathryn Bigelow,2010,best_director
Colin Firth,2011,best_actor
Natalie Portman,2011,best_actress
Tobe Hooper,2011,best_director
Jean Dujardin,2012,best_actor
Meryl Streep,2012,best_actress
Michel Hazanavicius,2012,best_director
Daniel Day-Lewis,2013,best_actor
Jennifer Lawrence,2013,best_actress
Adam Lee,2013,best_director
Matthew McConaughey,2014,best_actor
Cate Blanchett,2014,best_actress
Alfonso Cuarón,2014,best_director
Eddie Redmayne,2015,best_actor
Julianne Moore,2015,best_actress
Alejandro G. Iñárritu,2015,best_director
Leonardo DiCaprio,2016,best_actor
Brie Larson,2016,best_actress
Alejandro G. Iñárritu,2016,best_director
Casey Affleck,2017,best_actor
Emma Stone,2017,best_actress
Damien Chazelle,2017,best_director
Gary Oldman,2018,best_actor
Frances McDormand,2018,best_actress
Guillermo del Toro,2018,best_director
Rami Malek,2019,best_actor
Olivia Colman,2019,best_actress
Alfonso Cuarón,2019,best_director
Renée Zellweger,2020,best_actor
Joaquin Phoenix,2020,best_actress
Bong Joon Ho,2020,best_director
Anthony Hopkins,2021,best_actor
Frances McDormand,2021,best_actress
Chloé Zhao,2021,best_director
Will Smith,2022,best_actor
Jessica Chastain,2022,best_actress
Jane Campion,2022,best_director
Brendan Fraser,2023,best_actor
Michelle Yeoh,2023,best_actress
Daniel Kwan,2023,best_director
Cillian Murphy,2024,best_actor
Emma Stone,2024,best_actress
Christopher Nolan,2024,best_director